ID    VERSION           CTIME     FECHA         LINEAS    HASH
42    4.0.5-4           5.661     04/07/2017    2526      2E358994C8122118EA23F263DB078F30
43    4.0.5-4.1         5.438     04/07/2017    2526      09B3B447A549855EEC18EB54B3568971
44    4.0.5-4.2         5.647     04/07/2017    2526      6B3121812B007ECD7683338292CBB5E2
45    4.0.5-4.3         5.727     04/07/2017    2526      79273BE398A002A26C5F2B3FD6B94A95
46    4.0.6             5.182     04/07/2017    2526      DACE9E57EC1CC23DE5B80095974F5F4E
47    4.0.6.1           5.529     04/07/2017    2526      005A7B83190F6206F31E39A92251F4B9
48    4.0.6.2           5.325     04/07/2017    2526      CB97AD73F88E35CE2FB141415967FFE7
49    4.0.6-2           5.579     04/07/2017    2526      718D312CC3842858A4E7D128E8F86EBC
50    4.0.7             5.476     04/07/2017    2527      BF0A496FB2E4FBE7FBAD6B4D6BF4F1AD
51    4.0.8             5.572     04/07/2017    2527      633D8E983CB0DCD135E51AFE4388ADC7
52    4.0.9             5.809     04/07/2017    2527      7B7AC5638A1DA67F90CA696536C97485
53    4.1.0             5.995     04/07/2017    2527      37164BA71D1FCCE0BF22E74218568957
54    4.1.0.1           5.406     04/07/2017    2527      BF1900F079A8DEACE2EE366279BE3B9A
55    4.1.1             5.392     04/07/2017    2527      CB3219A7691FD9A50B088100C6A262FB
56    4.1.2             6.322     04/07/2017    2525      69B1E4A521B9B03C829C03F05662A718
57    4.1.2-1           5.455     04/07/2017    2525      CBC13B41787921485DCAB8D56E1A708F
58    4.1.3             5.297     04/07/2017    2525      F7EBB94011241EE0B395C517DD79E86F
59    4.1.4             6.185     06/07/2017    2525      684939284F402E1B867D2BE24EBF55AD
60    4.1.5             5.162     06/07/2017    2525      8669935A4ED70B9610C9DA09BBF3A047
61    4.1.5-1           5.364     06/07/2017    2525      AA7CFC1713D81323E2E4B628A872B90C
62    4.1.6             5.297     06/07/2017    2525      E4AB506EF9DDD2370FC38FB326AB2E85
63    4.1.6-1           5.361     06/07/2017    2525      69301B41F20066DF1796B086143C8A2A
64    4.1.6-2           5.378     06/07/2017    2525      797354BD964D3C2F343AACC3046BCCC4
65    4.1.6-3           5.287     06/07/2017    2525      F9C0F24E4FBD6A7456E804BF5C4B9DCF
66    4.1.6-4           5.251     06/07/2017    2525      CC61077C84AE0D1C7FA7FE05B0022024
67    4.1.6-5           5.047     06/07/2017    2525      253380EBE0F480009F1098A03227CC3A
68    4.1.6-6           5.219     06/07/2017    2525      B3CAFC9A8CD5BD262EAB7D5EE27A6570
69    4.1.6-7           5.243     06/07/2017    2525      F478095A5B349B1261B1F59AA173F32B
70    4.1.6-8           5.737     06/07/2017    2525      A3B9417EFFAA27618A2EDABF8A90DD5E
71    4.1.6-9           6.085     06/07/2017    2525      EE0FC94082B369CFA057DA55597FEE94
72    4.1.6-10          5.237     06/07/2017    2525      A3EFC1E92CB83016B68A63BCFAC6D51A
73    4.1.7             5.021     06/07/2017    2525      B990B03DFDFD5E5461375ADB797D98F1
74    4.1.8             5.121     06/07/2017    2515      CDD10FB4786533F7C0ADC7046231B7BD
75    4.1.9             5.139     06/07/2017    2515      DADDAEDF09AD36429D9C45712208DF4A
76    4.2.0             5.138     06/07/2017    2515      EA3F8DBE1483ADBC091332A5AD471786
77    4.2.0-1           5.367     06/07/2017    2515      E3CF8E8E72962E10D90E6818887C933E
78    4.2.0-2           5.144     07/07/2017    2515      E297C96683E6776DEA1DF1FFD52ACDE5
79    4.2.0-3           5.266     07/07/2017    2515      007FA216D1B80B95C6F560EE11B8DDEF
80    4.2.0-4           5.042     07/07/2017    2515      AB0CF5A6EE5A5662A774F36010495491
81    4.2.0-5           6.167     07/07/2017    2515      FC65B6A4FB7061FDE007DC90E2687BF6
82    4.2.1             5.547     07/07/2017    2583      D503904FA28E10E311A7AD4E747385A0
83    4.2.1-1           5.447     07/07/2017    2583      7D851195070200C1ECDE9BBD814259A8
84    4.2.1-2           6.092     07/07/2017    2583      9FEEEE8802EEEFA70DF126D06592F810
85    4.2.1-3           5.371     07/07/2017    2587      3A3FB9212BE4FE209D0C519440003384
86    4.2.2             5.713     09/07/2017    2585      3CA83789BDBFDDEDD663029253B87CFB
87    4.2.3             6.025     09/07/2017    2585      1AA932D2A73D0B2C68E434A949CFF5AF
88    4.2.4             5.796     09/07/2017    2614      11BEB87FBD5D7B4BC0F1ABAED0D20DD2
89    4.2.5             6.003     09/07/2017    2614      8B1A6F377BA2DA18B979D89F1CD18BE3
90    4.2.5-1           5.747     09/07/2017    2614      6CF44BF712361FE4FCB9F7379E286F32
91    4.2.5-2           5.993     09/07/2017    2614      FAB7EDD686F328C09F6ABE61B9EE0901
92    4.2.5-3           6.115     09/07/2017    2614      C7217CB45740B6BD14365DEC28A3A48B
93    4.2.6             5.985     09/07/2017    2614      F3E906B6A16D91C4F0C5C74E25116B42
94    4.2.7             6.179     09/07/2017    2615      FC6B47EA2D372CBCA763809CB5F35E5D
95    4.2.7-1           5.796     09/07/2017    2615      6CC0BE369E23588566C56F922A7FF0C1
96    4.2.7-2           6.172     09/07/2017    2614      28A3170895E4F6C72C8D2FDD820CC501
97    4.2.7-3           5.803     09/07/2017    2614      76A87C0BD5955C99D75362547E25D512
98    4.2.8             5.120     10/07/2017    2622      402E7954AB6C971A4826765C0B332A62
99    4.2.8-1           5.203     10/07/2017    2622      02AA0875346F9F2FFE82AF2A9A7C9781
100   4.2.8-2           5.285     10/07/2017    2622      72BD90B214838E1E0D4E354CA373D702
101   4.2.8-3           5.220     10/07/2017    2622      1179EBEED364E85BCDFCC4AF159969F6
102   4.2.8-4           5.087     10/07/2017    2622      97D8BD472C9A448697E4580737CB852A
103   4.2.8-5           5.701     10/07/2017    2622      36775B4AE5F20AD95FECA801ACC2D1CF
104   4.2.8-6           5.554     10/07/2017    2622      C56078FDFFB6A277CAFD24F6818B19CD
105   4.2.8-7           5.053     10/07/2017    2622      F271FC6E8BBCD626B1D107020488F711
106   4.2.8-8           4.974     10/07/2017    2622      AAADE450AF056C47BAC1F7A53AFE65E1
107   4.2.8-9           4.976     10/07/2017    2622      B8CE02D3EC4E48E836EA126352196B15
108   4.2.8-10          5.029     10/07/2017    2622      CE6CC5C2666FDD3E8AB4741B82EEA12E
109   4.2.9             4.890     13/07/2017    2655      22BDC03C971CEED0655F9A986337DCEA
110   4.2.9-1           4.555     13/07/2017    2655      84DCA42CD36BAA5854D557D8E58D2AF4
111   4.2.9-2           5.789     13/07/2017    2664      3BAD7CC4D170F9725A7F0688776368E6
112   4.2.9-3           5.091     13/07/2017    2664      143DC5999C86259B475D70E6D3EB53A0
113   4.2.9-4           5.409     13/07/2017    2670      849A9714E84D89CFB0A3345D845180B1
114   4.2.9-5           5.184     13/07/2017    2670      332C65E2B9EF9632E10482F2CC78C608
115   4.3.0             5.091     13/07/2017    2670      EEBD7D92AB3A4ECDAAB70E44400E212C
116   4.3.0-1           5.162     13/07/2017    2670      6C4FF1E419BA42EE3D4EB10E5F6A1FFC
117   4.3.0-2           5.375     13/07/2017    2679      72B8E70B573B4588D846A4195DA781F1
118   4.3.0-3           5.141     13/07/2017    2679      2E700312E635FED0E9B3CABC6DF4B537
119   4.3.0-4           5.313     21/07/2017    2679      EDA3C98569E3F900AC995C01F11FA344
120   4.3.1             5.248     21/07/2017    2679      AC79C8DC35EC5B2DC1F04F7287E34D94
121   4.3.1-1           5.819     21/07/2017    2679      C9AAFF5454FE700A2FD867141B6F4DBE
122   4.3.1-2           5.257     21/07/2017    2679      0EDF74BAED9D4C7E08F548E555D697F7
123   4.3.1-3           5.259     22/07/2017    2679      4706CF1E738595B89BA4A42B46C41B11
124   4.3.2-1           5.461     27/07/2017    2679      334351643FA882B81DC448687E7619C4
125   4.3.2-2           5.156     27/07/2017    2679      FFE5C93A8602BBF5F8ABBC88C73874B1
126   4.3.2-3           5.199     27/07/2017    2679      B373619EDA60A3BD3291DF62508B7CE2
127   4.3.2-4           5.228     27/07/2017    2679      5BDCAA74BF49B7426BAEC4DD19C5EFA8
128   4.3.2-5           5.185     27/07/2017    2679      02FB46BF09F63CF657148F9B77AF80F3
129   4.3.2-6           5.381     27/07/2017    2679      0627388ECA837C600AB4EC5CB73932E9
130   4.3.2-7           5.461     27/07/2017    2679      34A2C1FA30D7B498C57B4BFC9C074DA2
131   4.3.2-8           6.138     27/07/2017    2679      1BDCE6BACBA76F928BE8037851F2A6D0
132   4.3.2-9           5.244     27/07/2017    2679      E7A3EFE111BD73160E1571B0E05B7748
133   4.3.3             5.192     28/07/2017    2678      025CA23EA5584CF20653BFB7AFA4A846
134   4.3.4             5.840     29/07/2017    2743      F3C3630CD96742849BB4DEA64B4F3EA1
135   4.3.5             5.705     30/07/2017    2781      F76A15AB3B29B8451D22936A25E93FF8
136   4.3.5-1           5.325     30/07/2017    2781      9DBE0388F45ADCA3DF1B72368A2AE8AC
137   4.3.6             5.206     30/07/2017    2781      263062F71065A7559E5FDC69DB69077C
138   4.3.6-1           5.717     12/08/2017    2781      5BD7FB9DDF4AE007E31E7A2AC3B8B58A
139   4.3.6-2           5.716     12/08/2017    2781      242FD9BF7A14C5647A9FA19B72CF7F3F
140   4.3.7             5.585     12/08/2017    2781      8CC4BE70DB5FC0F532A277162E7A12D0
141   4.3.8             6.332     19/08/2017    2808      57EB72780DE3C7001A2AFA5D721F9BB3
142   4.3.9             6.155     25/08/2017    2811      3062D3C0F1E77736FF93ECA6251BEE14
143   4.4.0             5.595     25/08/2017    2923      1122A5761140893D966EFDCA4092350B
144   4.4.0-1           5.595     26/08/2017    2923      92DE4BC3210EAEC8FF2994A0A9B03AC2
145   4.4.0-2           5.546     26/08/2017    2923      56D6910FD39F4CC55E7639C61406FD74
146   4.4.0-3           5.508     26/08/2017    2922      67AEDFAE9445D69E4212C6919DD0B9FC
147   4.4.0-4           5.606     26/08/2017    2922      88F3A297E7DC5BC75CCBB1C3346C4CCB
148   4.4.1             5.513     26/08/2017    2953      8CE6A7BC03AEED15DB957143FF1B45C7
149   4.4.2             5.599     26/08/2017    2953      E9F8CA6E447D1E8AD1EE8F53C7ED532A
150   4.4.3             5.962     26/08/2017    2953      2D69AFF57EC06245F2F652164DF906F3
151   4.4.3-1           5.530     26/08/2017    2953      8258C8D3F0707D6014EC5589DDC94F62
152   4.4.4             5.283     26/08/2017    2951      82A0A494594554854A9CA7C6C76D7F72
153   4.4.5             5.658     26/08/2017    3019      83DEC0041288D179F5D9EB04A4A9501D
154   4.4.5-1           6.726     26/08/2017    3312      7A72596B63A0141EBDF57E6BD5D962B6
155   4.4.5-2           6.0       26/08/2017    3312      5506CBB94DEEFE9E1C298CE6C1BD074E
156   4.4.5-3           6.331     26/08/2017    3312      AF190E5DA05D4D165E5FABEFD0EE8808
157   4.4.5-4           6.836     26/08/2017    3312      3A2509EC988712D6B7E04A4173BA5338
158   4.4.5-5           6.361     26/08/2017    3312      A82EF724A53C2E66A98D441B0037C1F0
159   4.4.5-6           6.367     26/08/2017    3312      34DA3B92C4DE99AF22A2E4987032928D
160   4.4.5-7           6.634     26/08/2017    3312      FEB44E1474D94158C3B82B1BF474E9BA
161   4.4.5-8           7.584     26/08/2017    3312      EF1FF2395FEEC18468083CE2D35B92B6
162   4.4.5-9           6.454     26/08/2017    3312      347FA8D8067D37ED16D65983F4BAF03B
163   4.4.6             6.477     27/08/2017    3162      AF37FC9406DDC31CBEE1A9EE034E2DE0
164   4.4.6-1           7.116     27/08/2017    3162      4F00C3889D67D3B6D2C83EB1882DAD6A
165   4.4.6-2           7.459     27/08/2017    3162      1B924A2D85B64210069C8E5A977F5BE9
166   4.4.6-3           6.364     27/08/2017    3162      1941E148D07E5C531B06284C235351F7
167   4.4.6-4           6.298     27/08/2017    3162      A6EEBCB1D2B0CDE03FAA3D85100B1B69
168   4.4.6-5           6.348     27/08/2017    3162      76DCC6C6C4629654E42B3902E21AEE3C
169   4.4.6-6           6.536     27/08/2017    3159      C5809052E9491000250078D9E6CD20D7
170   4.4.6-7           6.302     27/08/2017    3162      4A1C3661E8507694FA189C35D14B9490
171   4.4.6-8           5.299     27/08/2017    3162      33BB88F1AB7C0E2B5C9A842891073328
172   4.4.6-9           5.270     27/08/2017    3162      5610E120EDAD321D7E388C3C952FADDF
173   4.4.7             5.653     27/08/2017    3171      548FA4F54F3EDF0B30A7D80804E76837
174   4.4.7-1           5.524     27/08/2017    3171      CC15903ECF00E3872B9E305E6CDB2C87
175   4.4.7-2           6.327     27/08/2017    3171      470AC6A363EA374786FD6A66F88BF187
176   4.4.7-3           6.475     27/08/2017    3171      80E1300989DC32D9A42D3C9A7A5CFC8A
177   4.4.7-4           5.545     27/08/2017    3171      8F7ED88780E2DCB82922B89F1EF98701
178   4.4.7-5           5.339     27/08/2017    3171      D4333644B3E6BAA95BA198B5668513D9
179   4.4.8             5.518     27/08/2017    3171      5B943A6EBAFEDBD59B0E256E29730B92
180   4.4.9             5.622     27/08/2017    3171      7E3EE5D4C986F6E71288767873A01A00
181   4.5.0             5.452     27/08/2017    3191      5FD9F9FEC9CCD851D9340B7C2F09E41E
182   4.5.0-1           6.113     04/09/2017    3191      EEB64091BDA61EBD30F85DD510402C6C
183   4.5.2             6.385     04/09/2017    3317      C808BC5D896263161A5D203B2EA41CA9
184   4.5.2-1           5.674     04/09/2017    3317      13AAB6FB2A7FE78F6D6FD2B85283C284
185   4.5.3             6.100     04/09/2017    3247      EDA11A9CC571BA6DB8CAB7ED7DD058D5
186   4.5.4             5.751     04/09/2017    3285      A802D8304E68ED9AF44BB20983BD7C38
187   4.5.5             5.631     04/09/2017    3308      C667955E16AF26BC0F06535E1C1AAAD1
188   4.5.5-1           5.643     04/09/2017    3308      E41717056828476CD85A56A64F893994
189   4.5.5-2           5.606     04/09/2017    3308      C877434C571C572BACA80C7A0032E865
190   4.5.5-3           5.524     05/09/2017    3308      B3EF1BD7F21B4ED8736565E164FA8E56
191   4.5.6             6.129     05/09/2017    3368      8E1106BD38E9EB063ACA29B98DE8F910
192   4.5.7             5.789     05/09/2017    3368      D74C6A0E523ABCFFBB1CE5508D67A326
193   4.5.8             5.886     06/09/2017    3411      AEBA974919B5464F3BA5E50491572195
194   4.5.8-1           6.331     06/09/2017    3411      45E7A6DEADD10E039A52CB4DEB1E356F
195   4.5.8-2           6.139     06/09/2017    3411      96595836F0E3ADC914CF93C55C68EA10
196   4.5.9             5.552     06/09/2017    3413      9D49C3571AD5276DE790475DB8D4605F
197   4.6.0             6.028     07/09/2017    3410      5F14C62BF9E4B020BE5A7822A71826AB
198   4.6.1             6.613     08/09/2017    3413      5DE12149D0221E9343F476B5C0F2CAD4
199   4.6.1-1           6.228     08/09/2017    3413      C55DF73E4738F208D7FF33484957FBB4
200   4.6.1-2           5.146     10/09/2017    3414      8312BBEA3B4BAF1431BD8D5506210BD7
201   4.6.2             5.100     10/09/2017    3414      2B23B4DB6AF3A7B96C1CE9B50F4A9FFA
202   4.6.3             5.539     28/09/2017    3424      289E8DD5FB2D003EFD55C6506B9B87E8
203   4.6.3-1           3.443     28/09/2017    3424      B3DFC6E103AC934801227534B111C510
204   4.6.3-2           3.496     28/09/2017    3420      92BF36E9E212A2117EE6C7B541C4694B
205   4.6.4             3.747     14/10/2017    3469      C003DBBF0CB37DDACA0615B2478CA0C3
206   4.6.5             3.873     14/10/2017    3465      AC7EF65B8BAABB05B2490A8E7CD02413
207   4.6.5-1           3.487     14/10/2017    3465      460DD111D1466052FD9E10DC7307A924
208   4.6.5-2           3.617     14/10/2017    3465      2549B1B5078F060F7891D83E4BF1C131
209   4.6.5-3           3.577     14/10/2017    3463      5B00A48D235495BF6A3678FF97FCE8E9
210   4.6.5-4           3.574     14/10/2017    3380      260CE945930ED2FB8B26F825E8CE7962
211   4.6.6             3.628     14/10/2017    3380      2E7913698C7B6BF5AFDE809C73E8A817
212   4.6.7             4.307     04/11/2017    3403      3CF552A482622787009210E8A76440C4
213   4.6.7-1           3.475     04/11/2017    3404      5D620D38AB5E9626F117D4814C047F18
214   4.6.8             3.406     17/11/2017    3403      011777BA7DCEE831B014A2427327E1BB
215   4.6.8-1           3.760     20/11/2017    3403      99BCBE9CD87D59A20319A27EDD12243A
216   4.6.8-2           3.726     20/11/2017    3403      6EF563A6349D4193D740D408AA4E5E93
217   4.6.8-3           3.751     20/11/2017    3403      37262690142C07901DBA9A9C53BE8C2A
218   4.6.8-4           3.561     20/11/2017    3403      900FAC6CAEF7286E1D919F1D2FAECAAB
219   4.6.8-5           3.615     20/11/2017    3403      69EB674D271BD0E1A2FF585B2E6DEA5D
220   4.6.8-6           3.600     20/11/2017    3403      1882C856680BA312C8776F16399D22CF
221   4.6.8-7           3.508     20/11/2017    3403      239BFFF537FF38FED0A2589077E5FCF2
222   4.6.8-8           3.453     20/11/2017    3403      D4C7C0F02231F67AE546B6CA664111C8
223   4.6.8-9           3.466     20/11/2017    3403      BD17FC44FB5C491A8438E7ACEFFC1E5E
224   4.6.9             3.481     20/11/2017    3403      6524E81DE24459C0738113FB4868C770
225   4.6.9-1           3.482     20/11/2017    3403      DF91DB2E6A37C77B1CC0F8595A4BDC40
226   4.6.9-2           3.634     20/11/2017    3403      509CA876F1510DAAC236EB7AA0DD8D05
227   4.6.9-3           3.440     20/11/2017    3403      F28F1EBA7EF13D74102038B9EB3447E9
228   4.6.9-4           3.460     20/11/2017    3403      802EAE6185275DE2B08C539B24D5E1A1
229   4.6.9-5           3.508     20/11/2017    3403      0C802E5AEA026833FF3605BF1ED4691F
230   4.6.9-6           3.493     20/11/2017    3403      547BEF98E2CB2ED91DF3996EB04FD67F
231   4.6.9-7           3.815     20/11/2017    3403      508711536379675EB4A20B24127359A7
232   4.6.9-8           3.776     20/11/2017    3403      F9A2D5F47E4C5B382D00594CCA8C8C5F
233   4.6.9-9           3.725     20/11/2017    3403      3AE0FE46B21BAEA36236F7C775480E15
234   4.7.0             3.639     20/11/2017    3403      4CD0129F9F7C18B051C464048523C58D
237   4.7.0-3           3.600     20/11/2017    3403      5C3365E0165C6C7E61A4F81635BB41DB
238   4.7.0-4           3.616     20/11/2017    3403      2D21C33376E354B4CBCE1D2582F9A6C1
239   4.7.1             3.435     22/11/2017    3403      F52D20C86CACDF1DA516623E7426ED73
240   4.7.1-1           3.432     22/11/2017    3436      905BDB6723F57C9D50481204A8A4B3D2
241   4.7.2             3.682     22/11/2017    3436      DCB22E8CD7D7DAC497C6085B2E8D8DC8
242   4.7.3             3.052     04/02/2018    3436      9736CC2C7BA5B4557E56F59EE12A20DE
243   4.7.3-1           4.134     05/02/2018    3436      5A143D102738BC1B2A5DA7F1D4193B83
244   4.7.4             3.059     04/04/2018    3436      C4C59CE7652E19676EB65F612BD3C18C
245   4.7.5             3.128     05/04/2018    3444      21BEB6ECE954AD9575D3B825867FAF0C
246   4.7.6             2.904     06/04/2018    3443      14C7488186C3B1365315EC3C81C643C2
247   5.0.0-alpha-1     3.565     20/04/2018    3899      822D2A6E31D13CDA44D3AB63651C9D2E
248   5.0.0-alpha-2     4.050     20/04/2018    3899      9EB49403CE40B2F7E7727BDDE4D8211F
249   5.0.0-alpha-3     3.592     21/04/2018    3899      EF2B7E9A1903FE8ECC3BB552B7B6FDCF
250   5.0.0-alpha-4     3.192     21/04/2018    3899      AD6849BE221BB0843EC4B81759499EC1
251   5.0.0-alpha-5     3.673     21/04/2018    3852      FFE34933C58A0D3E8DCA7E0AFDD612F8
252   5.0.0-alpha-6     3.740     21/04/2018    3860      89924379CC8201E562264B30F1DD696E
253   5.0.0-alpha-7     3.620     21/04/2018    3860      0B3CD23EE7B1F764D4BAE9A77576214C
254   5.0.0-alpha-8     3.728     21/04/2018    3866      AF5C756BA954F016A065BEFD45C9782C
255   5.0.0-alpha-9     3.751     21/04/2018    3866      6B9671DB0506B2556EF85531C80529F3
256   5.0.0-beta-1      3.592     21/04/2018    3866      28DE1A5F1C755A6DF722CB4302A1EEB4
257   5.0.0-beta-2      3.438     21/04/2018    3866      17F533C62061F56EB2987A709572575E
258   5.0.0-beta-3      3.396     22/04/2018    3886      DFAA5D9D12A963A806ABC95936B8C6FB
259   5.0.0-beta-4      3.640     22/04/2018    3886      D85728250803DF859AF81FF686D860F1
260   5.0.0-beta-5      3.633     22/04/2018    3886      8F0B56DA00A4767477BED2FA4572A390
261   5.0.0-beta-6      3.586     22/04/2018    3886      AEA5ADD7E41581281D9BD7664706D633
262   5.0.0-pre-1       4.024     22/04/2018    3886      3BD2703C78640FC61555095F1F9F015D
263   5.0.0-pre-2       3.669     22/04/2018    3886      711ADA5D87E5A44238A4F6C2F7E56F84
264   5.0.0-pre-3       4.363     22/04/2018    3886      FA201722AF154B6FD156C0610F6476BF
265   5.0.0-pre-4       4.034     22/04/2018    3886      C07804CD9F0FD59FD6AEEC5D091E5E0E
266   5.0.0             3.803     23/04/2018    3886      497D9B6603DD307DB3275C93FF6FA423
267   5.0.0-1           3.603     23/04/2018    3886      51F37CC12778A2B858EAB87BDC73D0E6
268   5.0.1             3.546     24/04/2018    3886      0C099FABC54DDD59030D9C3A3FFC9BE0
269   5.0.1-1           3.482     24/04/2018    4068      33125485D6491C690F729125D006060F
270   5.0.2             3.469     24/04/2018    4068      5F56FEFEC928D5C9704A72707282AECD
271   5.0.2-1           3.619     24/04/2018    4068      DCCE2058A453504F9602F6D534985BF1
272   5.0.3             3.657     25/04/2018    4098      24F066A88C2C3973DC095D53400EA9D1
273   5.0.4             3.239     25/04/2018    4099      A385CB703F1F754B9EC8CEA10F9ECD1D
274   5.0.5             3.512     25/04/2018    4099      1670C682FA59C0E21006D8D96AF05B7A
275   5.0.6             3.564     02/05/2018    4220      CEE256CC71FE82E9104E48D1B2611317
276   5.0.7             4.140     02/05/2018    4234      42FE7C348A19C51FC4D28AA675A00F4B
277   5.0.8             3.527     02/05/2018    4241      D158B2A0206F90983644785C2D85EEBC
278   5.1.0             3.541     02/05/2018    4241      710DF7C912753E712867A4D5488D9F7F
279   5.1.1             3.373     02/05/2018    4198      7FF39D93732A615C8ECB1E6D83A5723A
280   5.1.2             3.596     09/05/2018    4202      9BCC3294B7558BB84AF446026F8BAAC4
281   5.1.3             3.681     15/05/2018    4244      C52E63C1ECDDC1709F17EF004B3E585E
282   5.1.4             4.473     15/05/2018    4259      021D569B7D075C0080577C3B553D77C0
283   5.1.5             3.431     15/05/2018    4256      70A6C458C45CC71C22C3492CC31343BE
284   5.1.6             3.769     21/05/2018    4257      045186C0EC33C933682C75543D7A39CB
285   5.1.6-1           3.827     21/05/2018    4315      8D0B5950FDE427C6F82CAC82D89117BF
286   5.1.7             3.526     21/05/2018    4351      55957B6142C9FE9109C9A3F05785EBAD
287   5.1.8             3.378     21/05/2018    4351      10850F474C1291EB0180B022A5D3ECC6
288   5.1.9             3.444     21/05/2018    4383      A6C457131683574A990986EEA0BE0771
289   5.2.0             3.437     21/05/2018    4383      53E1B057A4B0156FC7B30C0AF6633D56
290   5.2.0-1           3.474     21/05/2018    4383      5DF4A5133E99620A99EA0C6DC1DE617D
291   5.2.0-2           3.472     21/05/2018    4383      49B482095C3340BC78A997BAE321651E
292   5.2.0-3           3.383     21/05/2018    4383      70023AA9B839B9AEA9E804075ED311A5
293   5.2.0-4           3.445     21/05/2018    4383      2CD8D9DE4B40A276CCA393360C25981B
294   5.2.0-5           3.458     21/05/2018    4383      4AC20BC14768DDA38513EF257712CDA7
295   5.2.0-6           3.451     21/05/2018    4383      D4B71571BE037470A76A1AE277E0F710
296   5.2.0-7           3.5       21/05/2018    4383      08311B3300C2663084C479282EA5808E
297   5.2.0-8           3.247     21/05/2018    4383      033BD01295A5600506E1C0099B694433
298   5.2.1             4.755     21/05/2018    4405      7364554988B93D26284146D6E80A2E33
299   5.2.2             4.222     21/05/2018    4405      D028F6E1096F53C90C31C10FB5C6307C
300   5.2.3             3.633     21/05/2018    4404      C7487CCE38B2BAD08103FB022E9C19ED
