ID    VERSION           CTIME     FECHA         LINEAS    HASH
66    1.2.9-1           6.647     24/08/2021    6329      2CBE18293C3FD646D4105DA5DC44DDDF
67    1.3.0             6.822     25/08/2021    6345      78EAEA91DC44D46E3E5E6D6D5430EB0B
68    1.3.0-1           6.501     25/08/2021    6344      F2EA76A27BB330664FCD4E10A339937F
69    1.3.0-2           6.253     25/08/2021    6362      D73B077821FAE7AA8191B98360F1A717
70    1.3.1             6.657     30/08/2021    6459      4779C00A031A6944C9A7BE29101EB871
71    1.3.1-1           6.526     30/08/2021    6459      5D03D3E12B866D912E1166923E4757AE
72    1.3.1-2           6.700     31/08/2021    6552      320C11A5C2FCAF34270209211D34481E
73    1.3.2             6.691     01/09/2021    6510      0A6B20F1F46D437BED9091BB97E50BD1
74    1.3.2-1           6.970     01/09/2021    6510      B64CEF35EFBD3BBC0DFB24077B3BCD61
75    1.3.2-2           6.226     01/09/2021    6510      57F27F882E363D9AA329B489996A543D
76    1.3.2-3           6.398     01/09/2021    6510      5945143DCEB7C1293D93AC7FF3C343CE
77    1.3.3             6.513     06/09/2021    6510      4278A1A52CCACC43BA5E2B0D45132CEE
78    1.3.4             6.069     08/09/2021    6534      A2030800094748BEFD46B151D0EEFC8D
79    1.3.4-1           6.121     08/09/2021    6552      071A96792F74EC041A2DAEFF44222A7C
80    1.3.5             6.080     09/09/2021    6564      0A9B3B8950F326D10946D002D532C8BC
81    1.3.5-1           6.071     09/09/2021    6564      AB2AFA1E2BF17386D4415FA37B223F42
82    1.3.6             6.529     10/09/2021    6599      E780C5A106171C2B95CB82F028D778A2
83    1.3.7             6.202     11/09/2021    6638      ECC7C0A8C912E0CF4A90AA235DBDA512
84    1.3.7-1           6.101     11/09/2021    6638      B358159CFF5A1AB07F7642D8C97A3522
85    1.3.8             6.148     12/09/2021    6637      CFF23DA174A787C39593E688B3BB2D36
86    1.3.8-1           6.085     12/09/2021    6637      DF49E21E052227ECCD11CB64B5EAA319
87    1.3.9             6.333     13/09/2021    6625      9406D366F47B0C7BA426D8C66C754717
88    1.4.0             2.265     14/09/2021    6625      65846FBBCF50347D8931716FF8789599
89    1.4.1             2.281     14/09/2021    6663      3D838EA9B9B6AB0ADE7CB2DFC82C6047
90    1.4.2             2.346     18/09/2021    6660      F102795FB02DFA7A404F2A048BF3EDA8
91    1.4.2-1           2.303     18/09/2021    6659      60AD6ABCCF4227C8E299BDC4ADB3928C
92    1.4.3             2.231     21/09/2021    5755      EACC9DF38FEEB301E3A16629733C999E
93    1.4.4             2.331     21/09/2021    5770      3A33B452DBF9410A630B830919A08B0D
94    1.4.5             2.365     27/09/2021    5817      C43E3FA9B687FAAD3C05BD46C5D91F9F
95    1.4.6             2.446     02/10/2021    5783      5BD1726EB3FD800F8BF9D6F3934E9EF0
96    1.4.7             2.847     06/10/2021    5809      2483C429B120F128CEC64B8071DD0645
97    1.4.8             2.737     06/10/2021    5811      998B844F9FEF3F8A8B1120C32B4D55DC
98    1.4.9             2.382     08/10/2021    5813      65556FC25464182AB4AD0F146F2CDB9F
